#------- -------
#Mass    log Age
#(Msun)  (year) 
#------- -------
   0.74  10.20
   0.79  10.10
   0.85  10.00
   0.91   9.90
   0.97   9.80
   1.04   9.70
   1.12   9.60
   1.20   9.50
   1.31   9.40
   1.41   9.30
   1.53   9.20
   1.69   9.10
   1.84   9.00
   1.99   8.90
   2.17   8.80
   2.36   8.70
   2.59   8.60
   2.85   8.50
   3.14   8.40
   3.48   8.30
   3.86   8.20
   4.30   8.10
   4.80   8.00
   5.37   7.90
   6.02   7.80
   6.80   7.70
   7.74   7.60
   8.82   7.50
  10.10   7.40
  11.71   7.30
  13.73   7.20
  16.36   7.10
  19.89   7.00
  24.89   6.90
  32.29   6.80
  44.21   6.70
  65.78   6.60
 112.38   6.50
