#------- -------
#Mass    log Age
#(Msun)  (year) 
#------- -------
   0.95  10.20
   1.02  10.10
   1.08  10.00
   1.15   9.90
   1.23   9.80
   1.32   9.70
   1.42   9.60
   1.54   9.50
   1.67   9.40
   1.82   9.30
   2.04   9.20
   2.21   9.10
   2.39   9.00
   2.58   8.90
   2.78   8.80
   3.00   8.70
   3.24   8.60
   3.51   8.50
   3.80   8.40
   4.12   8.30
   4.48   8.20
   4.89   8.10
   5.34   8.00
   5.86   7.90
   6.46   7.80
   7.19   7.70
   8.08   7.60
   8.97   7.50
  10.04   7.40
  11.38   7.30
  13.08   7.20
  15.27   7.10
  18.23   7.00
  22.50   6.90
  28.80   6.80
  39.73   6.70
  59.97   6.60
