#------- -------
#Mass    log Age
#(Msun)  (year) 
#------- -------
   0.90  10.20
   0.96  10.10
   1.03  10.00
   1.10   9.90
   1.17   9.80
   1.25   9.70
   1.34   9.60
   1.46   9.50
   1.58   9.40
   1.71   9.30
   1.94   9.20
   2.11   9.10
   2.29   9.00
   2.47   8.90
   2.68   8.80
   2.90   8.70
   3.13   8.60
   3.40   8.50
   3.70   8.40
   4.03   8.30
   4.40   8.20
   4.82   8.10
   5.30   8.00
   5.84   7.90
   6.48   7.80
   7.26   7.70
   8.22   7.60
   9.24   7.50
  10.46   7.40
  11.98   7.30
  13.96   7.20
  16.34   7.10
  19.60   7.00
  24.23   6.90
  31.19   6.80
  42.71   6.70
  64.59   6.60
 111.23   6.50
